compound_id	SMILES	pic50
72	Cc1nc2ccccc2nc1CCc1nc(-c2ccccc2)cn1CC(F)(F)F	6.7488194287909
73	CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(O)c3)nc2n1	8.45929521668924
74	Cc1cccc2c(=O)[nH]c(CCc3nc(-c4ccccc4)cn3C)nc12	7.83056070102106
75	Cc1nc(C(=O)N2CCC2)c(C(=O)Nc2ccn3nc(-c4ccccc4)nc3c2)n1C	7.69949147065671
76	Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3cccc(OCCF)c3)nc2c1	9.04792229256524
77	O=C(Nc1cc(-c2cccc(Cl)n2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1	8.85078088734462
78	Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1C1CC1	8.4672456210075
79	Cc1c(C#N)nc2ccc(C#Cc3nc(-c4ccccc4)cn3C)nn12	8.89585444944599
80	CN(C(=O)c1cnn(C)c1C(=O)NCCc1nc(-c2ccccc2)cn1C)C1CCC1	8.13012318673323
81	COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(F)n3)nc2n1	6.78638397341402
82	Cc1nn2ccc(CCc3nc(-c4ccccc4)cn3C)nc2c1C	8.31104653736258
83	Cc1c(Cl)cc(C(F)(F)F)c2nc(CCc3nc(N4CCCC4)n(C4CC4)n3)nn12	8.80271944187438
84	Cn1ncc(C(=O)NCCOCCO)c1C(=O)Nc1ccn2nc(-c3ccccc3)nc2c1	7.86053022441057
85	COc1cccc(-c2nc3cc(NC(=O)c4c(C(=O)N5CCC5)cnn4C)ccn3n2)c1	9.51286162452281
86	O=C(Nc1ccn2nc(-c3ccccc3)nc2c1)c1cc(Cl)nc(N2CCCCC2)c1	7.28113309270969
87	CCn1cc(-c2ccccc2)nc1CCc1nc2ccccc2nc1C	7.39205198395872
88	O=C(Nc1cc(-c2ccccn2)nn1CC(F)(F)F)c1nc(C2CC2)ccc1Nc1cncnc1	8.59585075079031
89	CN(C)c1nc(OCc2nc(-c3ccccc3)cn2C)nc2ccc(Cl)cc12	8.43462449728593
90	CCn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1	8.32559818715472
91	COCc1ccc(Nc2cncnc2)c(C(=O)Nc2cc(-c3ccccn3)nn2CCO)n1	8.28058584029741
92	Cn1cc(-c2ccccc2)nc1CCNC(=O)c1cccn2c(C3CC3)nnc12	7.36837362217117
93	Cn1cc(-c2ccccc2)nc1CCc1nc2ccc(Cl)cc2c(=O)[nH]1	8.03919637508823
